1调查地区,2年龄,3性别,4户口,5职业状况,6身体健康状况,7A ,7B ,7C ,7D,7E,7F ,7G ,7H,8worry_risk,9A,9B ,9C ,9D ,9E ,9F,9G,9H ,9I ,9J ,商业医疗保险,商业医疗保险购买条件,商业医疗保险不考虑,商业护理保险,护理保险购买条件,护理保险不考虑购买商业护理保险，主要原因,商业重大疾病保险,疾病保险保险产品购买条件,重大疾病不考虑购买原因,税前总收入
河南,41,1,1,1,1,1,0,1,0,0,0,0,0,收入问题,1,0,0,0,0,0,0,0,0,0,2,-3,不懂,2,-3,不懂,2,-3,不懂,2
河南,35,2,1,2,2,1,0,0,0,0,0,0,0,疾病，,1,0,0,0,0,0,0,0,0,0,1,靠谱,-3,1,靠谱,-3,2,-3,靠谱,3
河南,32,2,2,2,1,0,0,1,0,0,0,0,0,疾病多,0,0,0,1,0,0,0,0,0,0,1,福利待遇高,-3,1,有保障，福利待遇高,-3,1,有保障，福利待遇好，,-3,4
河南,35,1,2,3,1,0,1,0,0,0,0,0,0,疾病。老了得病最可怕，承受不住,1,0,0,1,0,1,0,0,0,0,1,价钱实惠，保险率高,-3,1,买的人多，交的钱少,-3,1,价钱，公道,-3,2
河南,57,2,4,8,3,1,0,0,0,0,0,0,0,自理能力下降,1,0,0,1,0,0,0,0,0,0,1,符合自身条件,-3,2,-3,不划算,2,-3,时间长,2
河南,42,2,2,2,1,0,1,0,0,0,0,0,0,身体疾病的担忧,1,0,0,0,0,1,0,0,0,0,1,服务适合自己,-3,2,-3,不考虑这种情况，有家人陪伴,1,年限较长，付款少,-3,3
山东,40,2,2,4,3,1,1,0,0,0,0,0,0,对将来的疾病问题最为担心因为我的体质一般，很容易生病,0,0,0,1,1,0,0,0,0,0,1,信誉较好  身边有人购买,-3,1,连续缴费时间不要太长 产品信誉高,-3,2,-3,1.家族里没有人患过重大疾病，不担心自己会患病 2.经济条件,3
河南,31,2,2,3,1,1,0,0,0,0,0,1,0,自理活动能力下降,1,0,0,1,0,1,0,0,0,0,1,太复杂了不想考虑,-3,1,太复杂了懒得想,-3,1,我有钱,-3,1
安徽,43,1,1,1,1,1,0,0,0,0,0,0,0,收入低,1,0,0,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
重庆,40,1,1,3,1,0,0,1,0,0,0,0,0,老来没有钱用,0,0,0,0,1,0,0,0,0,0,2,-3,不相信,2,-3,没有保障,2,-3,没有钱,2
河南,30,2,1,2,1,1,1,1,1,1,1,1,0,居住环境 家庭关系 疾病 心理疾病,1,0,0,1,0,0,0,0,0,0,1,费用 年限,-3,1,费用 年限,-3,1,费用 年限,-3,1
河南,35,1,2,1,1,1,0,0,0,0,0,0,0,收入不平衡,0,1,1,1,0,0,0,0,0,0,2,-3,不信任,2,-3,不信任,2,-3,不信任,5
河南,30,2,4,6,1,0,1,0,0,0,0,0,0,居住环境健康,1,0,0,0,0,0,0,0,0,0,2,-3,觉得没必要,2,-3,觉得没必要,2,-3,觉得没必要,1
重庆,51,2,1,5,3,1,1,0,1,1,1,1,0,疾病，子女的发展，自理能力下降,1,0,0,0,0,1,0,0,0,0,2,-3,不相信,2,-3,不相信,2,-3,不相信,1
安徽,43,2,1,1,2,1,1,1,0,0,0,0,0,收入低,1,0,0,0,0,0,0,0,0,0,1,有优惠,-3,1,有优惠,-3,1,有优惠,-3,1
河南,38,2,1,5,3,0,0,1,1,1,0,0,0,没有收入，疾病,0,0,0,1,0,1,1,0,0,0,1,不会有损失，有保障,-3,1,信誉好，有保障,-3,1,信誉好，有保障,-3,4
河南,40,2,1,5,1,1,0,0,0,0,0,0,0,居住环境   年纪大了不能照顾自己只能靠子女,1,0,0,1,0,1,0,0,0,0,2,-3,不够保险 不懂内情,2,-3,没有那么多资金,2,-3,家庭收入不高,2
辽宁,30,2,2,2,1,0,1,0,0,0,0,0,0,无,0,0,0,1,0,0,0,0,0,0,1,无,-3,2,-3,无,2,-3,无,3
河南,30,1,3,1,1,1,0,0,1,0,0,0,0,无,1,0,0,0,0,0,0,0,0,0,1,无,-3,1,无,-3,1,无,-3,1
河南,30,2,1,8,2,0,0,0,1,0,0,0,0,没有担,0,0,0,0,0,0,0,1,0,0,1,没有,-3,1,没有,-3,1,没有,-3,1
辽宁,38,2,6,8,1,0,0,1,0,0,0,0,0,吃饭，治病，经济,1,0,0,0,0,0,0,0,0,0,2,-3,安全5,2,-3,安全,2,-3,安全,1
湖北,45,2,2,4,3,1,1,0,0,0,0,1,0,无,0,0,1,1,0,0,1,0,0,0,1,无,-3,1,无,-3,1,无,-3,2
辽宁,35,1,1,3,1,1,0,0,0,1,0,0,0,收入，开销，疾病,1,0,0,0,1,0,0,0,0,0,1,可信度，保障好,-3,2,-3,害怕风险,1,可信度好，服务好，条件好,-3,5
重庆,34,2,1,5,1,1,1,0,1,1,1,1,0,居住环境，家庭关系，疾病,1,0,0,0,0,0,0,0,0,0,2,-3,身体好，不需要,2,-3,有购买保险,2,-3,有相关保险,2
河南,39,1,4,3,4,0,0,1,1,1,1,0,0,开销大，不能自理,0,0,0,0,0,0,0,0,1,0,2,-3,时间太短,1,信誉好，保障，不会有损失,-3,1,自身身体健康问题，是否有保障,-3,5
山东,55,1,1,4,3,1,1,1,0,0,1,0,0,开销老了花钱多心情也不好,1,0,0,0,0,0,0,0,0,0,1,价钱和靠不靠谱,-3,1,价钱和靠不靠谱,-3,1,价钱和靠不靠谱,-3,1
河南,38,1,1,2,3,1,1,1,1,0,0,0,0,儿女不在身边 疾病,1,0,0,0,0,0,0,0,0,0,2,-3,没必要,2,-3,收支不成正比,2,-3,有风险,1
安徽,46,1,1,1,2,1,1,1,0,0,0,0,0,收入低,1,0,0,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
河南,34,2,2,2,1,0,0,0,0,0,0,0,1,没有担心,1,0,0,0,0,0,0,0,0,0,1,没有,-3,1,没有,-3,1,没有,-3,3
河南,35,1,1,8,2,0,1,1,0,0,0,0,0,疾病问题 怕到老了得重大疾病,1,0,0,0,0,1,1,0,0,0,1,便宜实惠 有正规的组织,-3,2,-3,没钱 没用,2,-3,身体健康 没钱,2
重庆,31,1,1,4,1,1,1,1,1,1,1,1,0,开销，疾病，自理或活动能力下降,1,0,1,0,0,0,0,0,0,0,2,-3,还年轻身体好，不需要,2,-3,有购买了相关得保险,2,-3,有购买了相关保险,2
河南,37,1,5,1,4,1,1,1,0,1,0,0,0,居住环境条件不好，收入没有,1,0,0,0,0,0,1,0,0,0,2,-3,没有多余的钱,2,-3,没有资金,2,-3,没有资金,1
安徽,48,1,1,1,1,1,1,1,0,0,0,0,0,收入低,1,0,0,0,0,0,0,0,0,0,1,优惠多r,-3,1,优惠多,-3,1,优惠多,-3,1
河南,50,2,1,6,2,0,0,0,1,0,0,0,0,收入太少怎么办,0,0,0,1,0,1,0,0,0,0,1,1上门服务，2有一定的效果,-3,1,一次缴费费用不要太高         有用,-3,1,费用不高    终身受益,-3,1
重庆,40,2,1,4,1,1,1,1,1,1,1,1,0,子女以后的发展，疾病，活动能力下降,1,0,0,1,0,0,0,0,0,0,2,-3,身体好不需要,1,补偿金额足够，护理好,-3,2,-3,不会有这些疾病,2
黑龙江,49,2,2,5,3,0,0,1,0,0,1,0,0,担心没有经济能力供给生活。,1,0,0,0,0,1,1,0,0,0,2,-3,没钱,2,-3,没钱,2,-3,没钱,1
河南,36,1,6,6,4,1,0,0,0,0,0,1,0,没有收入，开销大,0,0,0,0,0,0,0,0,1,0,2,-3,没有资金,2,-3,没有资金,2,-3,没有资金,1
安徽,49,1,1,1,1,1,1,1,0,0,0,0,0,开销大,1,0,0,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
重庆,36,1,1,5,1,1,1,0,1,1,1,1,0,家庭关系，心里情绪，自理能力下降,1,0,1,0,0,0,0,0,0,0,2,-3,不相信这些,2,-3,不相信这些,2,-3,不相信这些,2
福建,50,1,5,7,3,1,0,0,0,0,0,0,0,想那么多干嘛,1,0,0,0,1,0,0,0,0,0,2,-3,我有单位医保,2,-3,儿子够了,2,-3,哪里想得那么远,2
安徽,43,1,1,1,1,1,0,0,0,0,0,0,0,收入低,1,1,1,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
河南,39,2,1,8,2,1,0,0,0,0,0,0,0,活动能力下降，有疾病，没人照顾,1,0,0,1,0,0,0,0,0,0,2,-3,一年内不会生病,2,-3,不相信保险，有医保，五险一金，就可以了,2,-3,不会生病,3
河南,52,1,1,2,4,0,1,0,0,1,0,0,0,有病生活我不能自理,1,0,0,0,0,0,1,0,0,0,1,有用    得到保障,-3,1,有用   不是太贵,-3,1,有用。实用,-3,3
山东,45,1,1,1,3,1,1,0,1,0,0,0,0,接啊毁人不倦啊只是看看打开看看喜欢就是会计学解放军你休假记得叫我卡卡7,1,1,0,0,0,0,0,0,0,0,1,DJ啊嫁鸡随鸡小娇妻珂卡芙店,-3,1,觉得呢往你家想那么奶香奶味呢,-3,1,你记得哈手弩此间少年是你吗,-3,2
山东,30,1,1,1,1,1,0,0,0,0,0,0,0,居住环境,1,0,0,0,0,0,0,0,0,0,2,-3,不喜欢,2,-3,没兴趣,2,-3,没用,1
辽宁,30,2,2,6,3,0,0,0,1,1,0,1,0,自理能力下降，不能照顾自己没有足够的养老资金，是生活失去保障,1,0,0,1,1,1,1,0,0,0,1,保险安全，风险低,-3,1,风险低，回报高,-3,1,风险低,-3,2
山西,45,1,1,2,3,1,0,0,0,1,1,0,0,花费,1,0,0,0,0,0,1,0,0,0,1,报销,-3,1,回报率大,-3,2,-3,没钱,1
安徽,56,1,1,1,2,1,1,1,0,0,0,0,0,开销大,1,0,0,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
山东,30,2,1,3,1,0,1,0,0,0,0,0,0,养老金,1,0,0,0,0,0,0,0,0,0,2,-3,钱,2,-3,钱,2,-3,钱,1
河南,38,2,5,4,2,1,1,0,0,0,1,1,0,疾病 家庭关系 居住环境,1,1,0,1,0,0,0,0,0,0,2,-3,没想那么远,2,-3,有保险,2,-3,有保险,4
河南,53,1,4,6,3,1,0,0,1,0,1,0,0,没有居住地,1,0,0,0,0,0,0,0,0,0,2,-3,没有用,1,受益   实用,-3,1,实用  有用,-3,4
河南,36,2,2,4,2,1,0,0,0,0,1,1,0,疾病，自理能力下降,1,0,0,1,0,1,0,0,0,0,2,-3,身体健康,2,-3,生活压力比较大，没有多余的资金购买,1,支付金额足够治疗疾病,-3,2
河南,35,2,4,2,2,1,1,0,0,0,1,1,0,开销，居住环境，家庭关系,1,0,1,1,1,0,0,0,0,0,1,价格合理，会承担多数医疗费用,-3,2,-3,会考虑医疗保险,2,-3,会考虑医疗保险,3
安徽,54,1,1,1,2,1,1,1,0,0,0,0,0,收入低,1,0,0,0,0,0,0,0,0,0,1,有优惠,-3,1,有优惠,-3,1,有优惠,-3,1
河南,39,2,1,3,2,0,1,0,0,0,0,0,0,开销大,0,1,0,0,0,0,1,0,0,0,1,有用,-3,1,有用,-3,1,有用,-3,2
河南,35,2,3,2,3,1,1,1,1,1,1,1,0,没有收入，不能自理,1,0,0,0,0,0,0,0,0,0,1,福利待遇高，不会有损失,-3,1,福利待遇高，有保障,-3,1,患疾病可能性大，有保障,-3,3
河南,35,2,2,4,1,1,0,0,0,0,0,0,0,自己以后的家庭关系，会有很大的转变,0,0,0,1,0,0,0,0,0,0,1,保险费用不太贵，没有太多限制，返现迅速,-3,2,-3,缴费年限时间太长,2,-3,缴费年限时间太长,3
安徽,46,1,1,1,1,1,1,1,0,0,0,0,0,收入低,1,0,0,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
河南,48,2,4,1,1,1,1,0,0,0,1,1,0,家庭关系,1,1,1,0,1,0,0,0,0,0,1,价格合理,-3,2,-3,不需要,2,-3,不需要,6
安徽,46,2,1,1,1,1,1,1,0,0,0,0,0,无收入,1,0,0,0,0,0,0,0,0,0,1,优惠多,-3,1,优惠多,-3,1,优惠多,-3,1
河南,45,1,5,4,4,1,1,0,1,0,0,0,0,身体不健康,0,0,0,1,0,0,0,0,0,0,1,保障健康   对子女好,-3,1,有好处 实用,-3,1,好 有用,-3,1
河南,39,1,1,2,4,1,1,1,1,1,1,1,0,开销大，没有收入,0,0,0,0,0,0,1,0,0,0,2,-3,时间太短,1,患疾病可能性大，福利待遇高,-3,1,有保障，福利待遇好,-3,4
辽宁,30,1,2,3,3,0,0,0,0,0,1,1,0,收入是否能够支出？,1,0,0,1,0,1,1,0,0,0,2,-3,没有能力支出,2,-3,朋友推荐的不考虑,2,-3,我应该得不了这种病,4
河南,32,2,3,4,2,1,0,0,0,0,0,0,0,收入，居住环境，开销,1,0,0,1,0,0,0,0,0,0,1,安全，回报,-3,1,安全，回报,-3,1,安全，回报,-3,3
河南,57,1,2,4,3,0,0,0,1,0,0,0,0,家庭关系,1,0,0,0,0,0,0,0,0,0,1,好 有用,-3,1,好,-3,1,好,-3,3
河南,50,1,1,3,2,0,0,0,0,0,1,1,0,疾病,1,0,0,0,1,0,0,0,0,0,2,-3,不需要,2,-3,有保险,2,-3,不需要,1
河南,40,1,3,1,1,1,0,0,0,1,1,1,0,意外,0,0,1,0,0,0,0,0,0,0,1,安全,-3,1,安全,-3,1,安全,-3,6
河南,31,2,1,2,3,1,1,1,1,1,1,1,0,开销大，居住环境条件不好,1,0,0,1,0,0,0,0,0,0,2,-3,年龄还小,1,有保障，福利待遇高,-3,1,不会有损失，福利待遇好,-3,4
天津,36,1,2,1,2,1,1,1,1,1,0,0,0,无法自理,1,1,1,0,0,0,0,0,0,0,2,-3,贵,1,便宜,-3,1,便宜，好,-3,5
河南,49,1,2,2,1,0,1,0,0,0,0,0,0,自理能力不能保证,0,0,1,0,0,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,1
河南,38,2,1,8,1,0,0,1,0,0,0,0,0,娱乐,0,0,0,0,0,0,0,0,1,0,2,-3,没钱,2,-3,没钱,2,-3,没钱,1
安徽,50,1,2,8,2,0,0,1,1,0,1,0,0,疾病，居住环境,0,1,0,0,0,1,0,0,0,0,1,可靠，保险产品在承受能力范围之内,-3,2,-3,有政府的保障,1,在承受范围之内，而且之后受益的可能性较大。,-3,2
重庆,35,1,1,3,1,0,0,1,0,0,0,0,0,经济来源,0,0,0,0,1,0,0,0,0,0,2,-3,不信任,2,-3,没有保障,2,-3,没有钱,2
山西,39,1,1,2,1,1,1,0,1,1,1,1,0,疾病问题,1,0,0,1,0,0,0,0,0,0,1,所有的疾病都可以报销部分费用,-3,1,必须是正规的,-3,1,每年的缴费不要太高,-3,1
河南,30,2,5,1,1,1,0,0,0,0,0,0,0,收入少，疾病，居住环境差,0,0,0,0,0,0,0,0,1,0,1,不会购买,-3,1,不会购买:,-3,2,-3,怕被骗,1
辽宁,30,2,1,2,3,0,0,0,0,0,1,0,0,疾病,1,0,0,0,0,0,0,0,0,0,1,家庭访问,-3,1,家庭访问,-3,1,家庭访问,-3,1
河南,45,2,2,4,2,1,1,0,0,0,0,0,0,收入,1,1,0,0,0,0,0,0,0,0,1,有保障,-3,1,便宜,-3,2,-3,没意思,2
重庆,40,1,1,3,1,0,0,1,0,0,0,0,0,经济来源,0,0,0,0,1,0,0,0,0,0,2,-3,不信任,2,-3,没有保障,2,-3,没钱,2
河南,31,2,3,6,1,1,0,0,0,0,0,0,0,老年时随着年龄的增长疾病的增多最令我担心,0,0,0,1,0,0,0,0,0,0,2,-3,时间太短，意外事件概率小，没必要购买,2,-3,生活不能自理时有儿女照顾，不需要保险公司照顾,2,-3,这是概率比较小的事件，没必要买保险,3
河南,35,1,2,2,3,1,1,1,1,1,1,1,0,收入，疾病，开销,1,0,0,1,1,1,1,0,0,0,2,-3,时间太短,2,-3,经济问题,2,-3,没钱,3
河南,30,1,1,8,3,1,0,0,0,0,0,0,0,经济承受能力不足,1,0,0,0,0,0,0,0,0,0,1,不贵,-3,2,-3,经济不足,2,-3,没钱,2
甘肃,47,1,2,2,4,1,0,0,0,0,0,0,0,心理情绪和疾病，是我担心的问题，怕以后身体不好,0,0,0,0,0,0,1,0,0,0,2,-3,觉得麻烦，不想想起有这种事发生,1,实用以及自己买得起,-3,2,-3,怕，不想认为自己将来和病有联系,2
山东,30,1,1,8,1,1,0,0,0,0,0,1,0,没有,1,0,0,0,0,0,0,0,0,0,1,没有,-3,1,没有,-3,1,没有,-3,2
河南,50,1,1,8,1,0,0,0,0,0,0,0,1,其他,0,0,1,0,0,0,0,0,0,0,1,后面2具有一定的市场影响能力,-3,2,-3,1生活的不定向的，没有人能预测未来，2那时儿女已经有了经济来源。,1,后面2具有一定的市场影响能力,-3,7
河南,52,1,2,5,3,0,0,0,1,0,0,0,0,好,0,0,0,1,0,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,2
河南,56,2,1,6,4,1,0,0,1,0,1,0,0,家庭关系，疾病,0,0,0,0,0,1,1,0,0,0,2,-3,时间短,2,-3,经济条件差,2,-3,没钱,2
河南,52,1,6,2,2,0,0,0,1,0,0,0,0,好,0,0,0,0,1,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,3
河南,31,2,4,8,2,1,0,0,1,0,0,0,0,自理能力下降,0,0,0,0,0,0,0,1,0,0,1,切和实际,-3,2,-3,时间长,2,-3,时间长,3
河南,52,1,3,1,1,0,0,0,0,0,1,0,0,好,1,0,0,0,0,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,3
河南,57,2,4,6,4,0,0,1,0,0,0,0,0,收入，收入没有保障,0,0,0,1,1,0,0,0,0,0,1,便宜,-3,2,-3,需要连续缴费，掏的钱比较多,2,-3,生那种大病的概率可能性比较小,2
河南,54,1,3,1,4,0,0,1,0,0,0,0,0,好,0,1,0,0,0,0,0,0,0,1,1,好,-3,1,好,-3,1,好,-3,1
河南,54,1,4,7,3,0,0,1,0,0,0,0,0,好,0,1,0,0,0,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,1
河南,31,1,1,8,1,0,1,0,0,0,0,0,0,疾病,1,0,0,0,0,0,0,0,0,0,1,存储,-3,1,存储,-3,1,存储,-3,1
河南,30,1,3,8,2,1,1,1,1,1,1,1,0,担心老了以后成为空巢老人,1,0,0,1,1,1,0,0,0,0,2,-3,天下哪有掉馅饼的好事,2,-3,天下哪有掉馅饼的好事,2,-3,天下哪有掉馅饼的好事,2
河南,58,1,4,4,2,0,0,0,1,0,0,0,0,好,0,1,0,0,0,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,1
山东,30,2,1,6,1,0,1,0,0,0,0,0,0,自理或活动能力下降，无人照顾,1,0,0,0,0,0,0,0,0,0,2,-3,多余,1,诚信，不坑人、骗人,-3,2,-3,浪费钱,1
河南,42,1,3,4,3,0,0,1,0,0,0,0,0,好,0,0,1,0,0,0,0,0,0,0,1,好,-3,1,好,-3,1,好,-3,1
辽宁,30,2,1,1,2,0,0,1,0,0,0,0,0,没人养老,1,0,0,0,0,0,0,0,0,0,1,收益高,-3,1,对,-3,2,-3,没钱,2
河南,54,2,5,4,4,0,0,0,0,1,0,0,0,开销,0,1,0,0,0,0,0,0,0,0,2,-3,资金不足,1,回报,-3,1,回报,-3,1
河南,55,2,1,4,3,0,0,0,1,0,0,1,0,收入 疾病,1,0,0,0,0,0,1,0,0,0,1,价格实惠  保的内容要多,-3,1,价格实惠   保的内容多,-3,2,-3,感觉自己不会得病,3
河南,43,1,4,4,3,0,0,1,0,0,0,0,0,收入、家庭环境,0,1,0,0,0,0,0,0,0,0,1,回报,-3,1,资金充足,-3,1,资金,-3,4
河南,36,1,4,6,3,0,1,0,0,0,0,0,0,疾病,0,0,0,0,0,0,0,0,1,0,2,-3,不了解,2,-3,不了解,2,-3,不了解,3
甘肃,40,1,1,6,4,1,0,0,0,1,0,1,0,我最担心的是没钱去医院做全面检查，怕最后冒出来个癌症。,0,0,0,0,0,0,0,1,0,0,1,不能太贵，报销费用达到60%以上,-3,2,-3,可能买不起,1,希望能减轻点经济负担,-3,1
河南,36,1,1,2,1,1,0,1,0,1,0,1,0,家庭收入父母生病,1,0,0,0,1,1,0,0,0,0,1,价格实惠，报销多,-3,1,报销多，有保障,-3,1,无疾病，退还保金，有疾病，无其他社保不冲突,-3,3
河南,43,2,3,5,3,0,0,0,1,0,1,0,0,收入  疾病  自理,1,0,0,1,0,0,0,0,0,0,2,-3,未来一年自己应该不会生病,1,老了没有生活来源，不想麻烦子女,-3,2,-3,未来一年内不会发生重大疾病,3
辽宁,32,2,2,1,1,1,1,0,0,0,0,0,0,收入开销,0,1,1,0,0,0,0,0,0,0,1,便宜,-3,1,便宜,-3,1,便宜,-3,7
河南,48,1,3,2,3,0,0,0,0,0,1,0,0,疾病,0,1,0,0,0,0,0,0,0,0,1,资金充足,-3,1,回报,-3,1,回报,-3,4
甘肃,45,2,1,4,3,0,0,1,0,0,1,0,0,疾病，因为医疗很贵。,1,0,1,0,0,0,0,0,0,0,1,经济，安全。,-3,1,诚信，安全。,-3,1,实惠，安全。,-3,2
陕西,36,2,1,2,1,1,0,0,0,0,0,1,0,家庭关系，收入,1,0,0,1,0,0,0,0,0,0,1,给钱,-3,2,-3,时间太长,2,-3,时间太长,2
河南,36,2,1,1,1,0,0,1,0,0,0,0,0,心理,1,0,0,0,0,0,0,0,0,0,1,可靠,-3,1,可靠,-3,1,可靠,-3,1
河南,30,2,3,1,1,1,1,0,0,0,0,0,0,疾病,1,0,0,0,0,0,0,0,0,0,2,-3,不靠谱,1,现实,-3,1,靠谱,-3,3
山东,45,2,1,4,3,1,1,0,0,0,0,0,0,收入，疾病，开销,1,1,0,1,0,0,0,0,0,0,1,品牌服务,-3,1,社会保障,-3,1,保额,-3,3
河南,35,2,3,8,3,1,1,1,1,1,1,1,0,疾病     心理情绪   自理能力,0,0,0,0,0,0,0,1,0,0,2,-3,收入低  买不起,1,若以后没有用到这笔钱  希望最后能返还,-3,1,若以后没有用到这笔钱  希望最后能返还,-3,2
河南,30,2,1,3,4,0,0,1,0,0,0,0,0,收入,1,0,1,0,1,0,0,0,0,0,2,-3,。。。,2,-3,。,2,-3,？。。,3
安徽,32,2,5,2,1,1,1,0,1,0,1,0,0,1.疾病问题:担心自己会患疑难杂症2.收入问题:怕没有收入，无法正常生活3.家庭问题:怕自己成为孤寡老人，无人陪伴,1,0,0,1,0,0,1,0,0,0,1,疾病报销额度够大；报销程序简单,-3,1,保险金要额度大；保险周期频繁,-3,1,保险程序简单；保险金能按时拿到,-3,3
河南,39,1,3,2,4,0,0,0,0,1,0,0,0,开销  居住环境,1,0,0,0,1,0,0,0,0,0,2,-3,未来一年可能不会得病,1,价格实惠,-3,2,-3,感觉太贵,1
河南,46,1,3,2,1,0,1,0,1,0,0,0,0,没什么可担心的,1,0,0,0,0,0,0,0,0,0,2,-3,不需要,2,-3,不需要,2,-3,不需要,5
河南,30,1,1,2,2,0,0,0,0,0,1,0,0,怕有钱花不出去,0,0,0,1,0,0,0,0,0,0,2,-3,没用，有的是钱,2,-3,都说了不差钱,2,-3,不差钱不差钱听不懂啊,1
河南,35,1,2,1,1,1,1,0,0,0,0,0,0,无,1,0,0,1,0,0,0,0,0,0,1,不需要,-3,1,不需要,-3,1,不需要,-3,3
江西,37,2,1,5,3,1,0,0,0,0,0,1,0,收入的问题 疾病的问题,1,0,0,0,0,1,1,0,0,0,2,-3,缺乏足够的保障,1,有足够的保障 保费在可承受范围内,-3,1,有足够的保障 保费在可承受范围内,-3,2
北京,35,1,2,5,3,0,0,0,0,0,1,0,0,收入低,0,0,0,0,0,1,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,6
河南,35,1,2,1,2,1,0,0,1,0,0,0,0,心理情绪，疾病,0,0,0,0,0,0,0,0,1,0,1,无,-3,1,正规，合理，手续齐全,-3,1,正规，合理,-3,2
辽宁,30,1,3,4,2,0,0,0,1,0,0,0,0,收入低,0,1,0,0,0,0,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,6
河南,49,1,2,5,2,0,1,0,0,0,0,0,0,开销,0,0,0,0,0,0,0,0,1,0,1,回馈,-3,1,服务,-3,1,条件较好,-3,1
河南,41,1,2,4,2,1,1,1,1,0,1,1,0,重大疾病导致不能工作,0,0,1,1,0,1,1,0,0,0,1,价格实惠报销多,-3,1,福利多，有优惠,-3,1,报销多,-3,2
河北,35,2,4,2,3,0,0,0,1,0,0,0,0,收入低,0,0,0,1,0,0,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,4
辽宁,35,2,2,5,3,1,0,0,0,0,0,0,0,收入,1,0,0,0,0,0,0,0,0,0,2,-3,时间长,2,-3,时间长,2,-3,时间长,4
内蒙古,35,1,5,3,3,0,0,0,0,0,1,0,0,收入低,0,0,1,0,0,0,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,4
辽宁,30,1,5,4,2,0,1,0,0,0,0,1,0,1、身体健康方面2、家庭成员减少3、事业失利,1,0,0,0,0,0,0,0,0,0,1,真实性、有效性,-3,2,-3,时间太长,2,-3,身体良好 不认为自己会有重大疾病,3
河南,53,1,2,4,4,0,0,0,0,1,0,0,0,家庭关系,0,1,0,0,0,0,0,0,0,0,1,回馈,-3,1,回馈较好,-3,1,服务,-3,2
河南,55,2,2,4,2,1,0,0,1,0,0,0,0,家庭关系，疾病,1,0,0,1,0,0,0,0,0,0,1,无,-3,1,无,-3,1,无,-3,2
山西,35,1,3,2,3,0,0,1,0,0,0,0,0,收入低,0,0,1,0,0,0,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,4
河南,56,2,1,6,3,1,1,0,0,0,0,0,0,没有固定收入来源，难以维持日常开销，居住环境不适合养老需要，,0,0,0,1,1,0,0,0,0,0,1,信誉好，受大众欢迎,-3,1,长期存在，不会是野鸡保险,-3,2,-3,太贵，,2
河南,55,1,7,8,5,0,0,0,0,1,1,1,0,疾病自理或活动能力下降,0,0,0,1,0,1,0,0,0,0,1,报销及时 金额多,-3,1,报销及时 金额多,-3,1,报销及时 金额多,-3,1
天津,33,2,5,3,4,0,0,0,1,0,0,0,0,收入低,0,0,0,1,0,0,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,4
河南,35,2,5,1,3,1,1,0,0,0,0,0,0,自理能力下降 居住环境变差调研地区:河南省三门峡市渑池县张玉婉15542838845渤海大学渤大车协支教团队,0,1,0,1,0,0,0,0,0,0,1,对自身未来有用,-3,2,-3,商业性强,2,-3,没钱,3
辽宁,35,2,2,5,3,1,0,0,0,0,0,0,0,收入,1,0,0,0,0,0,0,0,0,0,2,-3,时间长,2,-3,时间长,2,-3,时间长,4
河南,35,1,1,1,1,0,0,0,0,0,0,1,0,居住环境和家庭关系,0,0,0,0,0,1,0,0,0,0,2,-3,国家有养老医疗政策,1,前期费用和后期补贴,-3,2,-3,本人身体很健康,5
内蒙古,55,2,4,4,3,0,0,1,0,0,0,0,0,收入低,0,0,1,0,0,0,0,0,0,0,2,-3,太贵,2,-3,太贵,2,-3,太贵,5
重庆,30,1,1,2,1,0,0,1,0,0,0,0,0,老来无依靠,0,0,0,1,0,0,0,0,0,0,2,-3,不信任,2,-3,没有保障,2,-3,没钱,2
河南,52,1,5,4,3,0,0,0,0,1,0,0,0,疾病,0,0,0,0,1,0,0,0,0,0,1,需要,-3,1,自身需要,-3,1,shi fou xu tao,-3,2
河南,52,2,2,2,4,0,0,1,0,1,0,0,0,活动能力下降,1,1,0,0,1,0,0,0,0,0,1,到了一定年龄提供资金每个月,-3,1,精心的护理完美的照顾,-3,2,-3,没钱,2
